intersection_cluster,lat,lon,accident_count
0,45.432695975,-75.642128175,75
2,45.4085659,-75.6776488,22
4,45.40979409999999,-75.6784064,31
6,45.388569099999984,-75.7257577,103
10,45.30885975,-75.89871345,30
13,45.274265525,-75.717741875,80
21,45.39431619999999,-75.7488217,46
25,45.3785754,-75.6432015,33
33,45.47890559999999,-75.5130018,37
39,45.4205271,-75.6788663,43
40,45.42206899999999,-75.6801762,43
42,45.42533089999999,-75.6829123,120
43,45.42454860000001,-75.6847465,105
47,45.37794399999999,-75.6449411,33
50,45.41655409999999,-75.6892401,37
52,45.396983249999984,-75.7089824,96
53,45.3961637,-75.70683110000002,84
69,45.29351277499999,-75.89569737500001,187
79,45.30181025,-75.8754906,40
80,45.29449249999999,-75.8941278,173
81,45.30973629999998,-75.9177392,70
92,45.26745569999999,-75.93144165,51
93,45.3099845,-75.900489,44
94,45.3113956,-75.9029629,62
96,45.3106769,-75.9016965,72
102,45.26751384999999,-75.93004339999999,51
112,45.323813,-75.8344148,13
126,45.35228429999999,-75.791379,55
129,45.352724299999984,-75.8073792,71
130,45.3618382,-75.79123635,143
133,45.3733074,-75.7724777,12
134,45.36947979999999,-75.7540388,80
139,45.34074869999999,-75.7615731,7
145,45.36912084999999,-75.7727577,84
146,45.3518072,-75.7911009,55
147,45.3684768,-75.7534906,101
149,45.34812429999999,-75.7872084,121
150,45.30056555,-75.87480055,40
163,45.382199499999984,-75.7432079,11
164,45.3800208,-75.7374391,34
166,45.38758429999999,-75.7333462,55
167,45.37865419999999,-75.73332100000002,58
168,45.3816258,-75.7384408,34
171,45.37779789999998,-75.7493231,65
172,45.38145899999999,-75.74317,11
173,45.38915360000001,-75.7264921,103
178,45.39112449999999,-75.7531866,36
179,45.38977719999999,-75.7584829,17
180,45.39062989999999,-75.756913,17
183,45.39008559999999,-75.7562782,17
185,45.39213709999999,-75.753778,36
186,45.39345659999999,-75.7508866,21
187,45.42224549999999,-75.6968862,134
188,45.40949229999998,-75.6920736,245
189,45.43189929999999,-75.68842715,217
190,45.41471809999999,-75.6957999,31
191,45.42748849999999,-75.6887463,336
192,45.4170315,-75.7006849,71
194,45.43276439999999,-75.6944465,2
197,45.4260748,-75.6899572,294
198,45.42357960000001,-75.6956698,126
199,45.4114673,-75.7057522,70
200,45.417655,-75.7012096,116
201,45.4162123,-75.69433,103
203,45.41754419999999,-75.695498,61
204,45.419574099999984,-75.6945759,114
205,45.42322869999998,-75.69480745,152
206,45.4156998,-75.708224,74
207,45.40880099999999,-75.69377560000001,258
208,45.4157222,-75.6912326,69
210,45.42090009999999,-75.7039606,68
211,45.43411299999999,-75.6955857,2
212,45.4254851,-75.6894464,321
213,45.42790409999999,-75.6903157,174
214,45.42140599999998,-75.6988338,119
215,45.4211619,-75.7013284,90
216,45.41814699999999,-75.7044218,133
221,45.43118679999999,-75.6900926,206
222,45.41853239999999,-75.6990653,114
223,45.41493809999999,-75.7077703,74
224,45.42672429999999,-75.6882856,346
225,45.42017909999999,-75.695101,181
227,45.4240269,-75.6965359,87
228,45.4122761,-75.7038581,62
229,45.41240859999999,-75.6910316,74
230,45.422849,-75.6974019,124
231,45.39926219999999,-75.7339404,40
233,45.4020412,-75.7265984,5
234,45.39523259999999,-75.7467117,42
235,45.41146509999999,-75.7117413,71
237,45.4149575,-75.7017497,30
238,45.41982404999999,-75.6920002,112
239,45.3933698,-75.7246497,8
240,45.41701799999999,-75.6923573,82
241,45.4302483,-75.6922767,142
242,45.4285597,-75.6969696,73
243,45.4161723,-75.70277760000002,70
244,45.41937019999998,-75.6970684,133
245,45.41876429999999,-75.7049648,105
246,45.4163671,-75.691792,86
247,45.4067203,-75.7326955,4
249,45.41070419999999,-75.7075189,65
250,45.42701609999998,-75.6956377,74
252,45.41902659999999,-75.7023826,112
253,45.43011709999998,-75.6945871,126
254,45.41852159999998,-75.6909416,56
255,45.428716299999984,-75.6880815,234
256,45.41447499999999,-75.6985518,67
257,45.42644319999999,-75.6891033,328
258,45.4116538,-75.6989751,10
259,45.4039501,-75.7072165,48
260,45.41464789999999,-75.6876049,42
261,45.39601659999999,-75.7262247,57
262,45.4292748,-75.6965578,102
263,45.43251244999999,-75.6889524,213
264,45.41843479999999,-75.7018846,127
265,45.42163829999999,-75.6963601,152
267,45.39941859999998,-75.7282912,64
268,45.4090416,-75.7119968,36
269,45.4028946,-75.7082797,60
270,45.4033359,-75.7250731,13
271,45.40198449999999,-75.7298569,48
272,45.4024434,-75.700516,116
273,45.41316969999999,-75.69745100000002,43
274,45.42055719999998,-75.7007992,117
275,45.41293459999998,-75.7126442,84
276,45.4094129,-75.694272,198
277,45.41835699999999,-75.6935196,72
278,45.42342289999999,-75.6877346,209
280,45.4059662,-75.7025599,152
282,45.40788909999998,-75.7036745,49
283,45.4193562,-75.6997545,136
284,45.41747639999998,-75.7059895,110
285,45.422004,-75.6993525,77
286,45.41136429999999,-75.68744755,227
287,45.4073318,-75.6908363,52
288,45.4114425,-75.690194,92
289,45.42710459999999,-75.6896551,372
290,45.4079391,-75.6958388,119
291,45.40948969999999,-75.71055590000002,29
293,45.41536899999999,-75.696364,59
294,45.41491639999999,-75.6932062,73
295,45.4043915,-75.6891698,23
296,45.4180982,-75.7065247,109
298,45.42801669999999,-75.68753720000001,331
300,45.41615639999999,-75.7048224,81
302,45.4187563,-75.696536,119
303,45.4016571,-75.6875922,23
305,45.41719519999999,-75.6897942,49
306,45.404552,-75.7238948,14
308,45.41038089999998,-75.6978887,36
309,45.40374799999999,-75.7088,70
310,45.3969327,-75.72679215,57
311,45.41432149999999,-75.7074086,72
312,45.41994129999999,-75.7002582,141
315,45.43086539999998,-75.6928213,94
316,45.4191891,-75.6915052,57
317,45.41231169999998,-75.6881439,83
318,45.41125009999998,-75.6958069,80
319,45.417855799999984,-75.6903645,71
321,45.4006239,-75.7095214,21
322,45.42105029999999,-75.6958572,156
323,45.41964839999998,-75.702913,106
324,45.428667,-75.6960333,110
325,45.41216059999999,-75.6936022,72
326,45.40077169999999,-75.7291265,72
327,45.399742799999984,-75.7319539,40
329,45.42264529999999,-75.6999086,78
331,45.42349479999998,-75.6979537,82
332,45.39930519999999,-75.708726,12
333,45.4136096,-75.700632,50
334,45.40584899999999,-75.7083748,47
335,45.40532625,-75.7021985,152
336,45.413824,-75.6895885,67
337,45.404632,-75.7119389,41
338,45.42948739999999,-75.6940632,147
341,45.41319199999998,-75.7067548,16
342,45.40857479999999,-75.6915501,219
343,45.42982365,-75.68899825,94
344,45.42025429999998,-75.7034146,62
345,45.4140626,-75.6952438,58
346,45.40711829999999,-75.7054505,49
347,45.4288541,-75.6911182,118
348,45.40196559999999,-75.7103335,28
349,45.4207966,-75.6983053,135
351,45.41562569999999,-75.6884469,19
352,45.42961309999999,-75.6917394,95
353,45.41792359999999,-75.6985455,96
354,45.41084359999999,-75.69284,142
356,45.40529029999998,-75.709726,80
358,45.4168979,-75.7054685,97
360,45.42180729999999,-75.7018936,81
361,45.41033939999999,-75.7086887,26
362,45.4163461,-75.7085954,62
363,45.40825179999999,-75.7336158,4
364,45.4105991,-75.6894627,148
365,45.4030258,-75.6883894,31
366,45.4064831,-75.72056610000001,17
367,45.417559099999984,-75.703922,140
369,45.4167927,-75.7032886,104
370,45.40515039999999,-75.6895933,20
371,45.42728989999999,-75.6948764,58
372,45.4019339,-75.7076985,19
373,45.4202049,-75.6977922,151
374,45.4090143,-75.7011634,9
375,45.4318195,-75.6905947,195
377,45.4130116,-75.6915546,100
378,45.42421129999999,-75.6924121,151
380,45.41670009999999,-75.6975099,36
381,45.42630859999999,-75.6940521,156
382,45.4097361,-75.6994303,18
383,45.4083824,-75.7142058,22
384,45.42421139999998,-75.6963024,87
390,45.41779899999998,-75.63374293333332,106
392,45.41159925,-75.64548245,57
394,45.41410289999999,-75.64340995,40
397,45.4369107,-75.64447705,18
398,45.43413664999999,-75.64290305,87
